EstimateRequestedDate,ProgramSourceDescription
2/18/2026,Email
2/17/2026,Email
2/18/2026,Email
2/18/2026,Email
2/25/2026,Email
2/25/2026,Email
2/25/2026,Email
2/17/2026,Email
2/18/2026,Email
2/18/2026,Email
2/18/2026,Email
2/16/2026,Direct Mail
2/20/2026,Email
2/19/2026,Email
2/25/2026,Email
2/25/2026,Email
2/18/2026,Facebook
2/17/2026,Email
2/18/2026,Facebook
2/19/2026,Email
2/17/2026,Email
2/18/2026,Facebook
2/25/2026,Email
2/17/2026,Google
2/15/2026,Email
2/16/2026,Angi
2/15/2026,Facebook
2/15/2026,Facebook
2/15/2026,Facebook
2/16/2026,Angi
2/16/2026,Facebook
2/17/2026,Facebook
2/17/2026,Google
2/17/2026,Facebook
2/18/2026,Google
2/18/2026,Facebook
2/18/2026,Angi
2/19/2026,Facebook
2/19/2026,Google
2/19/2026,Facebook
2/20/2026,Facebook
2/21/2026,Facebook
2/21/2026,Facebook
2/21/2026,Facebook
2/21/2026,Facebook
2/21/2026,Facebook
2/22/2026,Facebook
2/23/2026,Angi
2/24/2026,Email
2/24/2026,Google
2/24/2026,Email
2/24/2026,Email
2/24/2026,Email
2/24/2026,Email
2/24/2026,Email
2/24/2026,Facebook
2/25/2026,Angi
2/25/2026,Angi
2/25/2026,Email
2/25/2026,Google
2/25/2026,Email
2/25/2026,YouTube
2/19/2026,Email
2/16/2026,Email
2/16/2026,Email
2/19/2026,Email
2/23/2026,Email
2/17/2026,Email
2/25/2026,Referral
2/25/2026,Email
2/23/2026,Email
2/16/2026,Email
2/21/2026,Email
2/18/2026,Email
2/18/2026,Email
2/16/2026,Facebook
2/18/2026,Email
2/16/2026,Email
2/16/2026,Email
2/18/2026,Email
2/15/2026,Facebook
2/15/2026,Facebook
2/16/2026,Facebook
2/16/2026,Facebook
2/17/2026,Facebook
2/17/2026,Facebook
2/17/2026,Email
2/17/2026,Google
2/17/2026,Facebook
2/18/2026,Facebook
2/18/2026,Email
2/18/2026,Google
2/18/2026,Google
2/18/2026,Facebook
2/19/2026,Google
2/19/2026,Google
2/19/2026,Facebook
2/20/2026,Angi
2/20/2026,Google
2/20/2026,Google
2/20/2026,Google
2/20/2026,Referral
2/20/2026,Referral
2/20/2026,Google
2/21/2026,Facebook
2/22/2026,Facebook
2/24/2026,Angi
2/23/2026,Google
2/24/2026,Cross Selling GLF/GPS
2/24/2026,Email
2/24/2026,Google
2/24/2026,Google
2/24/2026,Google
2/25/2026,Email
2/24/2026,Referral
2/25/2026,Referral
2/25/2026,Email
2/25/2026,Referral
2/25/2026,Google
2/25/2026,Email
2/25/2026,Email
2/18/2026,Email
2/19/2026,Email
2/19/2026,Email
2/16/2026,Email
2/24/2026,Email
2/19/2026,Email
2/19/2026,Facebook
2/16/2026,Email
2/18/2026,Email
2/23/2026,Email
2/18/2026,Email
2/17/2026,Email
2/16/2026,Email
2/18/2026,Email
2/17/2026,Email
2/22/2026,Email
2/17/2026,Google
2/24/2026,Home Advisor
2/17/2026,Email
2/22/2026,Facebook
2/24/2026,Email
2/21/2026,Email
2/19/2026,Email
2/20/2026,Lawn Sign
2/19/2026,Email
2/18/2026,Email
2/15/2026,Facebook
2/15/2026,Facebook
2/15/2026,Google
2/16/2026,Google
2/16/2026,Facebook
2/16/2026,Facebook
2/16/2026,Facebook
2/17/2026,Google
2/17/2026,Google
2/17/2026,Facebook
2/18/2026,Billboard
2/18/2026,Google
2/18/2026,Google
2/18/2026,Google
2/18/2026,Google
2/18/2026,Facebook
2/19/2026,Billboard
2/20/2026,Angi
2/20/2026,Referral
2/20/2026,Lawn Sign
2/21/2026,Facebook
2/21/2026,Facebook
2/22/2026,Google
2/24/2026,Email
2/24/2026,Google
2/24/2026,Google
2/25/2026,Email
2/25/2026,Email
2/16/2026,Google
2/16/2026,Email
2/17/2026,Email
2/18/2026,Email
2/20/2026,Google
2/18/2026,Email
2/18/2026,Email
2/24/2026,Email
2/16/2026,Google
2/17/2026,Email
2/19/2026,Email
2/18/2026,Google
2/15/2026,Facebook
2/23/2026,Email
2/18/2026,Email
2/17/2026,Email
2/23/2026,Referral
2/20/2026,Email
2/17/2026,Email
2/18/2026,Facebook
2/17/2026,Email
2/22/2026,Email
2/18/2026,Email
2/18/2026,Email
2/19/2026,Email
2/18/2026,Email
2/18/2026,Email
2/17/2026,Email
2/20/2026,Email
2/15/2026,Facebook
2/18/2026,Email
2/19/2026,Google
2/19/2026,Email
2/17/2026,Email
2/21/2026,Facebook
2/15/2026,Facebook
2/17/2026,Email
2/16/2026,Email
2/17/2026,Email
2/20/2026,Email
2/23/2026,Email
2/23/2026,Email
2/20/2026,Email
2/24/2026,Direct Mail
2/18/2026,Email
2/16/2026,Email
2/17/2026,Email
2/17/2026,Email
2/20/2026,Email
2/17/2026,Direct Mail
2/20/2026,Email
2/18/2026,Email
2/18/2026,Email
2/17/2026,Email
2/23/2026,Email
2/17/2026,Email
2/20/2026,Email
2/20/2026,Email
2/20/2026,Email
2/16/2026,Email
2/17/2026,Email
2/17/2026,Email
2/19/2026,Email
2/16/2026,Email
2/20/2026,Email
2/23/2026,Email
2/21/2026,Facebook
2/17/2026,Email
2/18/2026,Email
2/25/2026,Truck
2/17/2026,Email
2/16/2026,Truck
2/19/2026,Email
2/18/2026,Referral
2/15/2026,Facebook
2/15/2026,Google
2/15/2026,Facebook
2/16/2026,Referral
2/16/2026,Google
2/16/2026,Facebook
2/16/2026,Google
2/16/2026,Google
2/16/2026,Email
2/17/2026,Facebook
2/17/2026,Facebook
2/17/2026,Facebook
2/17/2026,Email
2/17/2026,Email
2/17/2026,Referral
2/17/2026,Facebook
2/17/2026,Facebook
2/17/2026,Facebook
2/17/2026,Google
2/17/2026,Facebook
2/18/2026,Referral
2/18/2026,Facebook
2/20/2026,Google
2/18/2026,Referral
2/19/2026,Google
2/18/2026,Referral
2/20/2026,Facebook
2/23/2026,Facebook
2/19/2026,Facebook
2/19/2026,Facebook
2/19/2026,Facebook
2/19/2026,Referral
2/19/2026,Facebook
2/19/2026,Facebook
2/20/2026,Referral
2/19/2026,Facebook
2/20/2026,Referral
2/20/2026,Referral
2/24/2026,Referral
2/20/2026,Google
2/20/2026,Next Door
2/21/2026,Referral
2/21/2026,Referral
2/23/2026,Email
2/21/2026,Facebook
2/21/2026,Facebook
2/21/2026,Facebook
2/21/2026,Facebook
2/21/2026,Facebook
2/21/2026,Facebook
2/23/2026,Angi
2/23/2026,Google
2/23/2026,Google
2/24/2026,Referral
2/24/2026,Google
2/24/2026,Google
2/24/2026,Referral
2/24/2026,Email
2/24/2026,Email
2/24/2026,Referral
2/24/2026,Email
2/25/2026,Email
2/25/2026,Referral
2/25/2026,Referral
2/25/2026,Google
2/25/2026,Referral
2/25/2026,Referral
