Locality,Administrative area,Country / Region,Postal code
North Wales,PA,US,19454-3334
Media,PA,US,
Lancaster,PA,US,17601-6766
Bear,DE,US,19701
Hillsborough Township,NJ,US,08844
Trenton,NJ,US,08619
Bowmansville,PA,US,17507
Allentown ,PA,US,
Mt Laurel Township,NJ,US,08054-1234
Wilmington,DE,US,19806
West Chester,PA,US,19380
Bethlehem,PA,US,18017-9350
Pennington,NJ,US,08534
Lindenwold,NJ,US,08021
Doylestown,PA,US,18901-4040
Langhorne,PA,US,19047-1820
Philadelphia,PA,US,19111-3926
Wayne ,PA,US,19087
East Brunswick,NJ,US,08816
