date,total_leads,dm_leads,organic_leads,year,month,day,dow,dow_name,week_num,is_weekend,is_saturday,is_sunday,day_of_season,temp_max,temp_min,temp_mean,precip_in,snowfall_in,snow_depth,sunshine_hrs,rain_in,wind_max_mph,solar_radiation
2021-02-15,31,0,31,2021,2,15,0,Monday,7,False,False,False,0,35.2,30.6,32.4,0.067,0.0,0.82,0.0,0.067,9.6,3.81
2021-02-16,16,0,16,2021,2,16,1,Tuesday,7,False,False,False,1,50.7,25.2,39.3,0.862,0.0,0.679,7.812566666666667,0.862,13.9,10.51
2021-02-17,9,0,9,2021,2,17,2,Wednesday,7,False,False,False,2,30.6,18.0,24.1,0.0,0.0,0.558,9.786866666666667,0.0,12.7,12.99
2021-02-18,4,1,3,2021,2,18,3,Thursday,7,False,False,False,3,27.4,22.9,25.1,0.728,4.272,0.72,0.0,0.118,8.3,2.39
2021-02-19,8,0,8,2021,2,19,4,Friday,7,False,False,False,4,31.8,25.4,28.2,0.228,1.378,0.954,0.0,0.031,9.9,3.11
2021-02-22,33,15,18,2021,2,22,0,Monday,8,False,False,False,7,36.7,22.4,29.8,0.461,2.949,1.02,0.177725,0.039,9.7,3.05
2021-02-23,50,36,14,2021,2,23,1,Tuesday,8,False,False,False,8,48.4,32.0,38.6,0.008,0.0,1.027,4.770625,0.008,13.3,8.07
2021-02-24,54,36,18,2021,2,24,2,Wednesday,8,False,False,False,9,52.9,29.8,42.2,0.0,0.0,0.842,10.202394444444446,0.0,12.8,15.98
2021-02-25,25,11,14,2021,2,25,3,Thursday,8,False,False,False,10,47.5,32.5,40.7,0.0,0.0,0.603,10.257988888888889,0.0,14.6,17.15
2021-02-26,29,17,12,2021,2,26,4,Friday,8,False,False,False,11,46.4,29.6,37.2,0.012,0.083,0.529,9.194319444444446,0.0,8.3,16.1
2021-02-27,12,4,8,2021,2,27,5,Saturday,8,True,True,False,12,51.9,33.4,42.1,0.295,0.992,0.451,3.8388500000000003,0.154,10.3,7.2
2021-03-01,89,23,66,2021,3,1,0,Monday,9,False,False,False,14,49.5,33.2,42.7,0.24,0.0,0.126,1.4853083333333332,0.24,17.1,5.36
2021-03-02,50,9,41,2021,3,2,1,Tuesday,9,False,False,False,15,37.3,20.7,28.8,0.0,0.0,0.098,10.482341666666667,0.0,15.4,18.18
