feature,importance
day_of_season,0.23348731861094887
week_num,0.18809439249446122
dow,0.17987342917220342
is_weekend,0.13204900140546447
year_trend,0.06568094890882178
temp_max_3d_avg,0.04205855011972716
temp_max,0.03945981464105761
sunshine_3d_avg,0.03568094756704692
sunshine_hrs,0.025075481249117123
wind_max_mph,0.021971762303630352
temp_mean,0.017993152096814853
precip_in,0.008201574801441413
month,0.008120700372256717
is_saturday,0.001976015980161601
is_rainy,0.00026466127563076335
is_snow,1.2249001215527435e-05
snowfall_in,0.0
is_sunny,0.0
